district,sector,candidate_aspiration,industry_size,organization_count,dsdp,mssds_trained,inference,pdf_page,source_batch,dsdp_training,mssds_trained_2022_23,projected_training,projection_available,projection_value_is_zero,projection_matched
Buldhana,Agriculture,284.0,291.0,15.0,,,,100,batch3_buldhana_to_hingoli.csv,850.0,30.0,510.0,True,False,True
Buldhana,Apparel,126.0,,,,,,100,batch3_buldhana_to_hingoli.csv,300.0,380.0,,,,False
Buldhana,Automotive,92.0,769.0,6.0,,,,100,batch3_buldhana_to_hingoli.csv,90.0,75.0,,,,False
Buldhana,Beauty & Wellness,163.0,516.0,2.0,,,,100,batch3_buldhana_to_hingoli.csv,120.0,119.0,,,,False
Buldhana,BFSI,302.0,2920.0,6.0,,,,101,batch3_buldhana_to_hingoli.csv,180.0,,,,,False
Buldhana,Capital Goods,14.0,92.0,6.0,,,,101,batch3_buldhana_to_hingoli.csv,1459.0,,,,,False
Buldhana,Electronics,393.0,146.0,3.0,,,,101,batch3_buldhana_to_hingoli.csv,0.0,320.0,340.0,True,False,True
Buldhana,Green Jobs,66.0,,,,,,101,batch3_buldhana_to_hingoli.csv,,,0.0,True,True,True
Buldhana,Healthcare,464.0,,,,,,102,batch3_buldhana_to_hingoli.csv,60.0,,,,,False
Buldhana,Iron & Steel,48.0,253.0,2.0,,,,102,batch3_buldhana_to_hingoli.csv,,,,,,False
Buldhana,IT/ITeS,485.0,5.0,5.0,,,,102,batch3_buldhana_to_hingoli.csv,210.0,173.0,0.0,True,True,True
Buldhana,Logistics,2.0,,1.0,,,,102,batch3_buldhana_to_hingoli.csv,150.0,,,,,False
Buldhana,Management,162.0,199.0,10.0,,,,103,batch3_buldhana_to_hingoli.csv,,,,,,False
Buldhana,Media & Entertainment,65.0,,,,,,103,batch3_buldhana_to_hingoli.csv,180.0,120.0,,,,False
Buldhana,Persons with Disability,,,,,,,103,batch3_buldhana_to_hingoli.csv,60.0,,,,,False
Buldhana,Plumbing,,,,,,,103,batch3_buldhana_to_hingoli.csv,60.0,49.0,,,,False
Buldhana,Retail,,,,,,,103,batch3_buldhana_to_hingoli.csv,150.0,,0.0,True,True,True
Buldhana,Rubber,2.0,50.0,1.0,,,,104,batch3_buldhana_to_hingoli.csv,,,,,,False
Buldhana,Telecom,15.0,40.0,1.0,,,,104,batch3_buldhana_to_hingoli.csv,150.0,150.0,0.0,True,True,True
Buldhana,Tourism & Hospitality,126.0,,1.0,,,,104,batch3_buldhana_to_hingoli.csv,210.0,524.0,,,,False
