district,sector,candidate_aspiration,industry_size,organization_count,dsdp,mssds_trained,inference,pdf_page,source_batch,dsdp_training,mssds_trained_2022_23,projected_training,projection_available,projection_value_is_zero,projection_matched
Jalgaon,Agriculture,161.0,194.0,11.0,,,,168,batch4_jalgaon_to_nagpur.csv,360.0,30.0,90.0,True,False,True
Jalgaon,Apparel,145.0,13.0,3.0,,,,168,batch4_jalgaon_to_nagpur.csv,270.0,430.0,,,,False
Jalgaon,Automotive,86.0,2087.0,7.0,,,,168,batch4_jalgaon_to_nagpur.csv,,,,,,False
Jalgaon,Beauty & Wellness,223.0,,1.0,,,,169,batch4_jalgaon_to_nagpur.csv,180.0,180.0,,,,False
Jalgaon,BFSI,319.0,2920.0,8.0,,,,169,batch4_jalgaon_to_nagpur.csv,,,,,,False
Jalgaon,Capital Goods,14.0,293.0,2.0,,,,169,batch4_jalgaon_to_nagpur.csv,,60.0,,,,False
Jalgaon,Construction,59.0,35.0,3.0,,,,169,batch4_jalgaon_to_nagpur.csv,60.0,,300.0,True,False,True
Jalgaon,Electronics,292.0,1545.0,6.0,,,,169,batch4_jalgaon_to_nagpur.csv,570.0,330.0,0.0,True,True,True
Jalgaon,Green Jobs,61.0,,,,,,170,batch4_jalgaon_to_nagpur.csv,120.0,,0.0,True,True,True
Jalgaon,Healthcare,294.0,53.0,2.0,,,,170,batch4_jalgaon_to_nagpur.csv,270.0,,,,,False
Jalgaon,Instrumentation,,,,,,,170,batch4_jalgaon_to_nagpur.csv,210.0,150.0,,,,False
Jalgaon,Iron & Steel,57.0,420.0,2.0,,,,170,batch4_jalgaon_to_nagpur.csv,,,,,,False
Jalgaon,IT/ITeS,830.0,4.0,3.0,,,,170,batch4_jalgaon_to_nagpur.csv,540.0,320.0,0.0,True,True,True
Jalgaon,Logistics,3.0,,1.0,,,,171,batch4_jalgaon_to_nagpur.csv,60.0,,,,,False
Jalgaon,Management,194.0,1070.0,4.0,,,,171,batch4_jalgaon_to_nagpur.csv,270.0,,,,,False
Jalgaon,Media & Entertainment,57.0,17.0,1.0,,,,171,batch4_jalgaon_to_nagpur.csv,180.0,180.0,,,,False
Jalgaon,Power,42.0,,,,,,171,batch4_jalgaon_to_nagpur.csv,60.0,127.0,,,,False
Jalgaon,Retail,,,,,,,171,batch4_jalgaon_to_nagpur.csv,60.0,,0.0,True,True,True
Jalgaon,Telecom,15.0,40.0,1.0,,,,171,batch4_jalgaon_to_nagpur.csv,90.0,90.0,0.0,True,True,True
Jalgaon,Tourism & Hospitality,26.0,,,,,,171,batch4_jalgaon_to_nagpur.csv,30.0,300.0,,,,False
