district,sector,candidate_aspiration,industry_size,organization_count,dsdp,mssds_trained,inference,pdf_page,source_batch,dsdp_training,mssds_trained_2022_23,projected_training,projection_available,projection_value_is_zero,projection_matched
Nagpur,Aerospace & Aviation,132.0,,,,,,238,batch4_jalgaon_to_nagpur.csv,60.0,299.0,,False,True,False
Nagpur,Agriculture,499.0,37.0,4.0,,,,239,batch4_jalgaon_to_nagpur.csv,140.0,1290.0,100.0,True,False,True
Nagpur,Apparel,107.0,1.0,1.0,,,,239,batch4_jalgaon_to_nagpur.csv,300.0,1070.0,,,,False
Nagpur,Automotive,269.0,2694.0,6.0,,,,239,batch4_jalgaon_to_nagpur.csv,80.0,50.0,,,,False
Nagpur,Beauty & Wellness,342.0,,1.0,,,,239,batch4_jalgaon_to_nagpur.csv,160.0,479.0,,,,False
Nagpur,BFSI,393.0,3207.0,10.0,,,,239,batch4_jalgaon_to_nagpur.csv,,,,,,False
Nagpur,Capital Goods,11.0,27.0,1.0,,,,240,batch4_jalgaon_to_nagpur.csv,160.0,190.0,,,,False
Nagpur,Construction,163.0,25.0,1.0,,,,240,batch4_jalgaon_to_nagpur.csv,160.0,,270.0,True,False,True
Nagpur,Domestic Workers,31.0,,,,,,240,batch4_jalgaon_to_nagpur.csv,60.0,150.0,,,,False
Nagpur,Electronics,607.0,168.0,4.0,,,,240,batch4_jalgaon_to_nagpur.csv,220.0,399.0,90.0,True,False,True
Nagpur,Food Processing,134.0,23.0,2.0,,,,240,batch4_jalgaon_to_nagpur.csv,120.0,150.0,,,,False
Nagpur,Gem & Jewellery,17.0,,,,,,241,batch4_jalgaon_to_nagpur.csv,,685.0,,,,False
Nagpur,Green Jobs,56.0,,,,,,241,batch4_jalgaon_to_nagpur.csv,80.0,200.0,0.0,True,True,True
Nagpur,Instrumentation,,,,,,,241,batch4_jalgaon_to_nagpur.csv,,3875.0,,,,False
Nagpur,Iron & Steel,40.0,850.0,2.0,,,,241,batch4_jalgaon_to_nagpur.csv,,,,,,False
Nagpur,IT/ITeS,895.0,5551.0,7.0,,,,241,batch4_jalgaon_to_nagpur.csv,180.0,400.0,0.0,True,True,True
Nagpur,Life Science,80.0,,,,,,241,batch4_jalgaon_to_nagpur.csv,60.0,60.0,,,,False
Nagpur,Logistics,10.0,125.0,1.0,,,,242,batch4_jalgaon_to_nagpur.csv,180.0,0.0,,,,False
Nagpur,Management,291.0,222.0,5.0,,,,242,batch4_jalgaon_to_nagpur.csv,120.0,330.0,,,,False
Nagpur,Media & Entertainment,359.0,,,,,,242,batch4_jalgaon_to_nagpur.csv,250.0,2810.0,,,,False
Nagpur,Power,131.0,,,,,,242,batch4_jalgaon_to_nagpur.csv,100.0,260.0,,,,False
Nagpur,Telecom,28.0,,,,,,242,batch4_jalgaon_to_nagpur.csv,120.0,530.0,0.0,True,True,True
