district,sector,candidate_aspiration,industry_size,organization_count,dsdp,mssds_trained,inference,pdf_page,source_batch,dsdp_training,mssds_trained_2022_23,projected_training,projection_available,projection_value_is_zero,projection_matched
Ratnagiri,Agriculture,195.0,248.0,2.0,,,,335,batch6_raigad_to_solapur_proper.csv,840.0,470.0,289.0,True,False,True
Ratnagiri,Apparel,156.0,880.0,2.0,,,,335,batch6_raigad_to_solapur_proper.csv,570.0,253.0,,,,False
Ratnagiri,Automotive,227.0,2537.0,5.0,,,,335,batch6_raigad_to_solapur_proper.csv,330.0,20.0,,,,False
Ratnagiri,Capital Goods,7.0,644.0,3.0,,,,336,batch6_raigad_to_solapur_proper.csv,300.0,,,,,False
Ratnagiri,Construction,40.0,8.0,1.0,,,,336,batch6_raigad_to_solapur_proper.csv,330.0,,100.0,True,False,True
Ratnagiri,Electronics,468.0,148.0,3.0,,,,336,batch6_raigad_to_solapur_proper.csv,150.0,270.0,100.0,True,False,True
Ratnagiri,Green Jobs,35.0,,,,,,336,batch6_raigad_to_solapur_proper.csv,180.0,,0.0,True,True,True
Ratnagiri,Healthcare,141.0,,,,,,337,batch6_raigad_to_solapur_proper.csv,180.0,30.0,,,,False
Ratnagiri,Logistics,74.0,,,,,,337,batch6_raigad_to_solapur_proper.csv,60.0,,,,,False
Ratnagiri,Management,371.0,96.0,4.0,,,,337,batch6_raigad_to_solapur_proper.csv,30.0,,,,,False
Ratnagiri,Plumbing,27.0,,,,,,337,batch6_raigad_to_solapur_proper.csv,90.0,,,,,False
Ratnagiri,Power,73.0,161.0,1.0,,,,338,batch6_raigad_to_solapur_proper.csv,30.0,,,,,False
