district,sector,candidate_aspiration,industry_size,organization_count,dsdp,mssds_trained,inference,pdf_page,source_batch,dsdp_training,mssds_trained_2022_23,projected_training,projection_available,projection_value_is_zero,projection_matched
Satara,Agriculture,649.0,475.0,13.0,,,,358,batch6_raigad_to_solapur_proper.csv,1260.0,180.0,200.0,True,False,True
Satara,Apparel,924.0,155.0,4.0,,,,358,batch6_raigad_to_solapur_proper.csv,240.0,390.0,,,,False
Satara,Automotive,775.0,9098.0,21.0,,,,358,batch6_raigad_to_solapur_proper.csv,510.0,180.0,,,,False
Satara,Capital Goods,175.0,3414.0,28.0,,,,359,batch6_raigad_to_solapur_proper.csv,2850.0,190.0,,,,False
Satara,Construction,144.0,296.0,13.0,,,,359,batch6_raigad_to_solapur_proper.csv,60.0,,169.0,True,False,True
Satara,Electronics,718.0,291.0,8.0,,,,359,batch6_raigad_to_solapur_proper.csv,390.0,179.0,38.0,True,False,True
Satara,Green Jobs,121.0,70.0,2.0,,,,360,batch6_raigad_to_solapur_proper.csv,,,0.0,True,True,True
Satara,Healthcare,688.0,200.0,1.0,,,,360,batch6_raigad_to_solapur_proper.csv,330.0,,,,,False
Satara,Iron & Steel,47.0,2533.0,17.0,,,,360,batch6_raigad_to_solapur_proper.csv,30.0,,,,,False
Satara,Logistics,25.0,65.0,4.0,,,,361,batch6_raigad_to_solapur_proper.csv,210.0,,,,,False
Satara,Management,491.0,725.0,26.0,,,,361,batch6_raigad_to_solapur_proper.csv,60.0,30.0,,,,False
Satara,Metal Products,,,,,,,361,batch6_raigad_to_solapur_proper.csv,480.0,,,,,False
Satara,Plumbing,18.0,,,,,,361,batch6_raigad_to_solapur_proper.csv,60.0,30.0,,,,False
Satara,Power,303.0,,,,,,362,batch6_raigad_to_solapur_proper.csv,300.0,270.0,,,,False
Satara,Retail,,,,,,,362,batch6_raigad_to_solapur_proper.csv,60.0,,38.0,True,False,True
Satara,Rubber,11.0,395.0,4.0,,,,362,batch6_raigad_to_solapur_proper.csv,30.0,11.0,,,,False
Satara,Telecom,32.0,,,,,,362,batch6_raigad_to_solapur_proper.csv,300.0,240.0,0.0,True,True,True
Satara,Textile,40.0,5000.0,1.0,,,,362,batch6_raigad_to_solapur_proper.csv,1440.0,,,,,False
