district,sector,industry_opportunity_score,training_pressure_score,evidence_confidence,projection_available,industry_size,organization_count,candidate_aspiration,mssds_trained_2022_23,dsdp_training,projected_training,source,normalized_district,normalized_sector
Ahmednagar,Agriculture,12.54,17.24,0.67,True,1095.0,11.0,843.0,,,50.0,mssds_2023_projection_merged.csv,ahmednagar,agriculture
Ahmednagar,Apparel,5.24,,0.17,False,,,237.0,,,,mssds_2023_projection_merged.csv,ahmednagar,apparel
Ahmednagar,Automotive,27.29,,0.5,False,9300.0,30.0,281.0,,,,mssds_2023_projection_merged.csv,ahmednagar,automotive
Ahmednagar,BFSI,17.91,,0.5,False,3025.0,9.0,1298.0,,,,mssds_2023_projection_merged.csv,ahmednagar,bfsi
Ahmednagar,Beauty & Wellness,9.47,,0.33,False,,1.0,681.0,,,,mssds_2023_projection_merged.csv,ahmednagar,beauty & wellness
Ahmednagar,Capital Goods,2.89,,0.5,False,206.0,5.0,72.0,,,,mssds_2023_projection_merged.csv,ahmednagar,capital goods
Ahmednagar,Construction,3.9,,0.67,True,79.0,5.0,225.0,,,320.0,mssds_2023_projection_merged.csv,ahmednagar,construction
Ahmednagar,Domestic Workers,2.43,,0.5,False,700.0,2.0,83.0,,,,mssds_2023_projection_merged.csv,ahmednagar,domestic workers
Ahmednagar,Electronics,26.0,12.65,0.67,True,6782.0,28.0,669.0,,,160.0,mssds_2023_projection_merged.csv,ahmednagar,electronics
Ahmednagar,Food Processing,4.45,,0.5,False,197.0,6.0,222.0,,,,mssds_2023_projection_merged.csv,ahmednagar,food processing
Ahmednagar,Furniture & Fittings,0.77,,0.17,False,,,35.0,,,,mssds_2023_projection_merged.csv,ahmednagar,furniture & fittings
Ahmednagar,Gem & Jewellery,1.48,,0.5,False,500.0,1.0,49.0,,,,mssds_2023_projection_merged.csv,ahmednagar,gem & jewellery
Ahmednagar,Green Jobs,5.73,0.0,0.33,True,,,259.0,,,0.0,mssds_2023_projection_merged.csv,ahmednagar,green jobs
Ahmednagar,Healthcare,11.1,,0.5,False,627.0,6.0,1005.0,,,,mssds_2023_projection_merged.csv,ahmednagar,healthcare
Ahmednagar,Hydrocarbon,0.86,,0.17,False,,,39.0,,,,mssds_2023_projection_merged.csv,ahmednagar,hydrocarbon
Ahmednagar,IT/ITeS,21.98,0.0,0.67,True,80.0,7.0,2455.0,,,0.0,mssds_2023_projection_merged.csv,ahmednagar,it/ites
Ahmednagar,Instrumentation,,,0.0,False,,,,,,,mssds_2023_projection_merged.csv,ahmednagar,instrumentation
Ahmednagar,Iron & Steel,23.81,,0.5,False,5101.0,40.0,50.0,,,,mssds_2023_projection_merged.csv,ahmednagar,iron & steel
Ahmednagar,Life Science,5.94,,0.5,False,1027.0,3.0,426.0,,,,mssds_2023_projection_merged.csv,ahmednagar,life science
Ahmednagar,Logistics,0.52,,0.5,False,2.0,1.0,14.0,,,,mssds_2023_projection_merged.csv,ahmednagar,logistics
Ahmednagar,Management,7.49,,0.5,False,372.0,5.0,636.0,,,,mssds_2023_projection_merged.csv,ahmednagar,management
Ahmednagar,Media & Entertainment,2.13,,0.5,False,20.0,1.0,218.0,,,,mssds_2023_projection_merged.csv,ahmednagar,media & entertainment
Ahmednagar,Plumbing,0.94,,0.5,False,270.0,1.0,20.0,,,,mssds_2023_projection_merged.csv,ahmednagar,plumbing
Ahmednagar,Power,1.59,,0.5,False,135.0,2.0,76.0,,,,mssds_2023_projection_merged.csv,ahmednagar,power
Ahmednagar,Retail,,,0.17,True,,,,,,100.0,mssds_2023_projection_merged.csv,ahmednagar,retail
Akola,Agriculture,5.38,57.97,1.0,True,79.0,6.0,363.0,87.0,360.0,120.0,mssds_2023_projection_merged.csv,akola,agriculture
Akola,Apparel,3.03,,0.5,False,,,137.0,110.0,60.0,,mssds_2023_projection_merged.csv,akola,apparel
Akola,Automotive,7.26,,0.83,False,2059.0,7.0,201.0,90.0,270.0,,mssds_2023_projection_merged.csv,akola,automotive
