original_job_title,original_skills_required,normalized_job_title,matched_trade,match_similarity,match_type,mapping_confidence,mapping_status,district,normalized_district,raw_district,raw_job_title,dataset_source
Required female Personal Secretary,Office Assistant/Helper,required female personal secretary,,0.3402000069618225,below_threshold,0.3402000069618225,unmatched,Pune,pune,Pune,Required female Personal Secretary,ncs_maharashtra_job_listings_snapshot_2026.csv
PEN PACKING JOB WORK FROM HOME,Packager,pen packing job work from home,,0.2029000073671341,below_threshold,0.2029000073671341,unmatched,Mumbai,mumbai,Mumbai,PEN PACKING JOB WORK FROM HOME,ncs_maharashtra_job_listings_snapshot_2026.csv
Tempo required with Driver for Delivery,Delivery/Collections,tempo required with driver for delivery,,0.1923000067472458,below_threshold,0.1923000067472458,unmatched,Mumbai,mumbai,Mumbai,Tempo required with Driver for Delivery,ncs_maharashtra_job_listings_snapshot_2026.csv
Field work,Others,field work,,0.34610000252723694,below_threshold,0.34610000252723694,unmatched,Mumbai,mumbai,Mumbai,Field work,ncs_maharashtra_job_listings_snapshot_2026.csv
MOBILIZER,Mobilizer,mobilizer,,0.2662999927997589,below_threshold,0.2662999927997589,unmatched,Mumbai Suburban,mumbai suburban,Mumbai Suburban,MOBILIZER,ncs_maharashtra_job_listings_snapshot_2026.csv
Soldering operator,Soldering Operator,soldering operator,,0.4259999990463257,below_threshold,0.4259999990463257,unmatched,Thane,thane,Thane,Soldering operator,ncs_maharashtra_job_listings_snapshot_2026.csv
Rohan sonawane,,rohan sonawane,,0.23360000550746918,below_threshold,0.23360000550746918,unmatched,Nashik,nashik,Nashik,Rohan sonawane,ncs_maharashtra_job_listings_snapshot_2026.csv
SAREE PACKING JOB WORK FROM HOME,Packager,saree packing job work from home,,0.21850000321865082,below_threshold,0.21850000321865082,unmatched,Latur,latur,Latur,SAREE PACKING JOB WORK FROM HOME,ncs_maharashtra_job_listings_snapshot_2026.csv
SAREE PACKING JOB WORK FROM HOME,Packager,saree packing job work from home,,0.21850000321865082,below_threshold,0.21850000321865082,unmatched,Thane,thane,Thane,SAREE PACKING JOB WORK FROM HOME,ncs_maharashtra_job_listings_snapshot_2026.csv
SAREE PACKING JOB WORK FROM HOME,Packager,saree packing job work from home,,0.21850000321865082,below_threshold,0.21850000321865082,unmatched,Mumbai,mumbai,Mumbai,SAREE PACKING JOB WORK FROM HOME,ncs_maharashtra_job_listings_snapshot_2026.csv
pen pencil packing homework job,Packager,pen pencil packing homework job,,0.32580000162124634,below_threshold,0.32580000162124634,unmatched,Pune,pune,Pune,pen pencil packing homework job,ncs_maharashtra_job_listings_snapshot_2026.csv
Anuj more payboy,Others,anuj more payboy,,0.21150000393390656,below_threshold,0.21150000393390656,unmatched,Pune,pune,Pune,Anuj more payboy,ncs_maharashtra_job_listings_snapshot_2026.csv
Tattoo Artists,Others,tattoo artists,,0.30070000886917114,below_threshold,0.30070000886917114,unmatched,Mumbai,mumbai,Mumbai,Tattoo Artists,ncs_maharashtra_job_listings_snapshot_2026.csv
STARTER TIPS TO MAKE MONEY ONLINE OFFLINE,Data Entry / Back Office,starter tips to make money online offline,,0.24639999866485596,below_threshold,0.24639999866485596,unmatched,Pune,pune,Pune,STARTER TIPS TO MAKE MONEY ONLINE OFFLINE,ncs_maharashtra_job_listings_snapshot_2026.csv
Pencil Packing job Work from home,Packager,pencil packing job work from home,,0.2653000056743622,below_threshold,0.2653000056743622,unmatched,Mumbai,mumbai,Mumbai,Pencil Packing job Work from home,ncs_maharashtra_job_listings_snapshot_2026.csv
Pencil Packing job Work from home,Packager,pencil packing job work from home,,0.2653000056743622,below_threshold,0.2653000056743622,unmatched,Raigad,raigad,Raigad,Pencil Packing job Work from home,ncs_maharashtra_job_listings_snapshot_2026.csv
SEEKING NEW BANKING JOB,CV; DSA; KYC Verification; Operator; WP,seeking new banking job,,0.351500004529953,below_threshold,0.351500004529953,unmatched,Kolhapur,kolhapur,Kolhapur,SEEKING NEW BANKING JOB,ncs_maharashtra_job_listings_snapshot_2026.csv
