academic_year_or_version,program,branch,year,semester,course_code,course_title,course_type,credits,source_page,source_section
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - I,PH-23001,Engineering Physics,BSC,3.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - I,MA-23002,Linear Algebra,BSC,3.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - I,AS-23001,Biology for Engineers,BSC,2.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - I,EE-23001,Basic Electrical Engineering,ESC,3.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - I,CTS-24002,Basic Electronics,ESC,3.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - I,CTS-24001,Introduction to Computer Programming,ESC,2.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - I,HS-23002,Communication Skills,HSMC,2.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - I,AS-23002,Indian Knowledge System,HSMC,1.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - I,AS-23003,Physical Education / Sports,CCA,1.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - II,MA-23005,Probability and Statistics,BSC,3.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - II,PH-23002,Quantum Physics,BSC,3.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - II,CTS-24003,Digital Logic Design,ESC,4.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - II,ME-23001,Engineering Graphics and Computer Drawing,ESC,3.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - II,CTS-24004,Discrete Structures,PCC,4.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - II,CTS-24005,Computer Programming Practice,VSEC,1.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - II,HS-23001,Professional Ethics,HSMC,1.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2023-24,B. Tech.,Computer Science and Engineering,F.Y.,Semester - II,AS-23004,Liberal Learning - 1,CCA,1.0,197,COEP CSE Curriculum (Page 197)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,S.Y.,Semester - III,CTS-24008,Microprocessors,PCC,4.0,198,COEP CSE Curriculum (Page 198)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,S.Y.,Semester - III,CTS-24007,Principles of Programming Languages,PCC,3.0,198,COEP CSE Curriculum (Page 198)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,S.Y.,Semester - III,CTS-24006,Data Structures and Algorithms,PCC,4.0,198,COEP CSE Curriculum (Page 198)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,S.Y.,Semester - III,AS-24002,Environmental Studies,VEC,1.0,198,COEP CSE Curriculum (Page 198)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,S.Y.,Semester - III,HS-24001,Entrepreneurship,HSMC,1.0,198,COEP CSE Curriculum (Page 198)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,S.Y.,Semester - III,AS-24004,Liberal Learning - 2,CCA,1.0,198,COEP CSE Curriculum (Page 198)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,S.Y.,Semester - III,CTS-24013,Minor-1 (AI/ML or Quantum or Systems),MDM,3.0,198,COEP CSE Curriculum (Page 198)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,S.Y.,Semester - III,HS-24007,Design Thinking,HSMC,1.0,200,COEP CSE Curriculum (Page 200)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,S.Y.,Semester - IV,CTS-24010,Object Oriented Programming and Design,PCC,4.0,198,COEP CSE Curriculum (Page 198)
