academic_year_or_version,program,branch,year,semester,course_code,course_title,unit_or_module,topic,source_page,source_section
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Self-Study Topics,Course outcomes,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Self-Study Topics,the optimal parsing technique.,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Self-Study Topics,Identify different code optimization techniques for the various statements,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Introduction,The role of language translation in the programming process,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Introduction,Translator Issues,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Introduction,Types of translators,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Introduction,Design of an,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Introduction,assembler. Introduction of phases of compilation,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Introduction,Front end and backend model of compiler,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Introduction,cross compiler,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Introduction,Incremental compiler,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Lexical analysis,Revision of finite automata,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Lexical analysis,Introduction to LEX Tool an LEX file specification,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Lexical analysis,Error detection and recovery in LEX,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,Context Free Grammers(CFG),6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,concept of parsing,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,Parsing Techniques- Top-down parsers: Introduction,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,Predictive,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,Parsing- removal of left recursion,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,removal of left factoring,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,Recursive Descent Parsing,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,Predictive LL(k) Parsing,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,using Tables,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,Bottom Up parsing: Introduction,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,Shift-Reduce Parsing Using the ACTION/GOTO Tables,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,Table,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,Construction,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,SLR(1),6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,LR(1),6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,and LALR(1) Grammars,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,Introduction to YACC Tool & YACC file specification,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,Error,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Syntax Analysis,detection and recovery in YACC.,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Semantic Analysis & Intermediate Representation,Need of semantic analysis,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Semantic Analysis & Intermediate Representation,Abstract Parse trees,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Semantic Analysis & Intermediate Representation,Syntax directed definitions,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Semantic Analysis & Intermediate Representation,Syntax directed translation schemes,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Semantic Analysis & Intermediate Representation,Symbol Tables,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Semantic Analysis & Intermediate Representation,Symbol Table management,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Semantic Analysis & Intermediate Representation,Data type as set of values and with set of operations Type Checking,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Semantic Analysis & Intermediate Representation,Intermediate code generation: Intermediate languages,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Semantic Analysis & Intermediate Representation,Design issues,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Semantic Analysis & Intermediate Representation,Intermediate code representations: three,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Semantic Analysis & Intermediate Representation,address code,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Semantic Analysis & Intermediate Representation,abstract & concrete syntax trees.,6,Syllabus: Compiler Construction (Page 6)
