skill,skill_category,course_code,course_title,year,semester,source_topic,source_page,extraction_method,mapping_status
Code Optimization,Theoretical Computer Science,CT-26001,Compiler Construction,Final Year,Semester - VII,Identify different code optimization techniques for the various statements,6,explicit_topic,approved
Finite Automata,Theoretical Computer Science,CT-26001,Compiler Construction,Final Year,Semester - VII,Revision of finite automata,6,explicit_topic,approved
LEX Tool,Theoretical Computer Science,CT-26001,Compiler Construction,Final Year,Semester - VII,Introduction to LEX Tool an LEX file specification,6,explicit_topic,approved
Error Detection,Theoretical Computer Science,CT-26001,Compiler Construction,Final Year,Semester - VII,Error detection and recovery in LEX,6,explicit_topic,approved
CFG,Theoretical Computer Science,CT-26001,Compiler Construction,Final Year,Semester - VII,Context Free Grammers(CFG),6,explicit_topic,approved
Ll(k) Parsing,Theoretical Computer Science,CT-26001,Compiler Construction,Final Year,Semester - VII,Predictive LL(k) Parsing,6,explicit_topic,approved
Slr,Theoretical Computer Science,CT-26001,Compiler Construction,Final Year,Semester - VII,SLR(1),6,explicit_topic,approved
Lalr,Theoretical Computer Science,CT-26001,Compiler Construction,Final Year,Semester - VII,and LALR(1) Grammars,6,explicit_topic,approved
YACC,Theoretical Computer Science,CT-26001,Compiler Construction,Final Year,Semester - VII,Introduction to YACC Tool & YACC file specification,6,explicit_topic,approved
Semantic Analysis,Theoretical Computer Science,CT-26001,Compiler Construction,Final Year,Semester - VII,Need of semantic analysis,6,explicit_topic,approved
Symbol Tables,Theoretical Computer Science,CT-26001,Compiler Construction,Final Year,Semester - VII,Symbol Tables,6,explicit_topic,approved
Intermediate Code Generation,Theoretical Computer Science,CT-26001,Compiler Construction,Final Year,Semester - VII,Intermediate code generation: Intermediate languages,6,explicit_topic,approved
Stack,Data Structures & Algorithms,CT-26001,Compiler Construction,Final Year,Semester - VII,Stack and static allocation,6,explicit_topic,approved
Compiler Construction,Theoretical Computer Science,CT-26001,Compiler Construction,Final Year,Semester - VII,Modern compiler construction tools,7,explicit_topic,approved
Cryptography,Data Structures & Algorithms,CT-26002,Cryptography and Network Security,Final Year,Semester - VII,Cryptography,8,explicit_topic,approved
Network Security,Data Structures & Algorithms,CT-26002,Cryptography and Network Security,Final Year,Semester - VII,Basic network security terminology,8,explicit_topic,approved
DES,Data Structures & Algorithms,CT-26002,Cryptography and Network Security,Final Year,Semester - VII,Modern Block Ciphers: Data Encryption Standard (DES),8,explicit_topic,approved
AES,Data Structures & Algorithms,CT-26002,Cryptography and Network Security,Final Year,Semester - VII,Advanced Encryption Standard (AES),8,explicit_topic,approved
RSA,Data Structures & Algorithms,CT-26002,Cryptography and Network Security,Final Year,Semester - VII,RSA,8,explicit_topic,approved
Diffie-Hellman Key Exchange,Data Structures & Algorithms,CT-26002,Cryptography and Network Security,Final Year,Semester - VII,Diffie-Hellman Key Exchange,8,explicit_topic,approved
Elliptic Curve Cryptography,Data Structures & Algorithms,CT-26002,Cryptography and Network Security,Final Year,Semester - VII,Elliptic Curve Cryptography,8,explicit_topic,approved
Cryptographic Hash Functions,Data Structures & Algorithms,CT-26002,Cryptography and Network Security,Final Year,Semester - VII,Cryptographic Hash functions: Message Digest 5 (MD5),8,explicit_topic,approved
MD5,Data Structures & Algorithms,CT-26002,Cryptography and Network Security,Final Year,Semester - VII,Cryptographic Hash functions: Message Digest 5 (MD5),8,explicit_topic,approved
SHA,Data Structures & Algorithms,CT-26002,Cryptography and Network Security,Final Year,Semester - VII,Secure Hash algorithm (SHA),8,explicit_topic,approved
Authentication,Data Structures & Algorithms,CT-26002,Cryptography and Network Security,Final Year,Semester - VII,Authentication Codes,8,explicit_topic,approved
IDS,Data Structures & Algorithms,CT-26002,Cryptography and Network Security,Final Year,Semester - VII,IDS,8,explicit_topic,approved
Honeypot,Data Structures & Algorithms,CT-26002,Cryptography and Network Security,Final Year,Semester - VII,Honeypot,8,explicit_topic,approved
Firewalls,Data Structures & Algorithms,CT-26002,Cryptography and Network Security,Final Year,Semester - VII,Firewalls,8,explicit_topic,approved
DHCP,Computer Networks & Cyber Security,CT-26003-A,System Administration,Final Year,Semester - VII,Set up a LAN-based laboratory using DHCP.,10,explicit_topic,approved
DNS,Computer Networks & Cyber Security,CT-26003-A,System Administration,Final Year,Semester - VII,DNS,10,explicit_topic,approved
File Systems,"Systems, Architecture & OS",CT-26003-A,System Administration,Final Year,Semester - VII,Manage Linux file systems and data storage mechanisms.,10,explicit_topic,approved
Operating Systems,"Systems, Architecture & OS",CT-26003-A,System Administration,Final Year,Semester - VII,Installation of multiple operating systems on desktops,10,explicit_topic,approved
Process Management,"Systems, Architecture & OS",CT-26003-A,System Administration,Final Year,Semester - VII,Process management,10,explicit_topic,approved
Network Security,Computer Networks & Cyber Security,CT-26003-A,System Administration,Final Year,Semester - VII,Network security tools- Nmap,10,explicit_topic,approved
Authentication,Computer Networks & Cyber Security,CT-26003-A,System Administration,Final Year,Semester - VII,security tools Authentication mechanisms,10,explicit_topic,approved
CUDA,"Systems, Architecture & OS",CT-26003-B,GPU Computing,Final Year,Semester - VII,CUDA Architecture overview,13,explicit_topic,approved
Data Structures,Data Structures & Algorithms,CT-26003-B,GPU Computing,Final Year,Semester - VII,reduction. Programs for concurrent data structures.,13,explicit_topic,approved
Memory Management,"Systems, Architecture & OS",CT-26003-B,GPU Computing,Final Year,Semester - VII,Memory management with pyCUDA,13,explicit_topic,approved
IoT,Cloud & Distributed Systems,CT-26003-C,Internet of Things,Final Year,Semester - VII,IoT.,15,explicit_topic,approved
Cloud Computing,Cloud & Distributed Systems,CT-26003-C,Internet of Things,Final Year,Semester - VII,Cloud computing,15,explicit_topic,approved
Embedded Systems,Cloud & Distributed Systems,CT-26003-C,Internet of Things,Final Year,Semester - VII,embedded systems,15,explicit_topic,approved
Internet Of Things,Cloud & Distributed Systems,CT-26003-C,Internet of Things,Final Year,Semester - VII,Internet of things privacy background,15,explicit_topic,approved
AWS,Cloud & Distributed Systems,CT-26003-C,Internet of Things,Final Year,Semester - VII,Cloud Platforms for IoT (AWS IoT,16,explicit_topic,approved
Azure,Cloud & Distributed Systems,CT-26003-C,Internet of Things,Final Year,Semester - VII,Microsoft Azure IoT,16,explicit_topic,approved
Google Cloud,Cloud & Distributed Systems,CT-26003-C,Internet of Things,Final Year,Semester - VII,Google Cloud IoT),16,explicit_topic,approved
Artificial Intelligence,"AI, Machine Learning & Vision",CT-26003-C,Internet of Things,Final Year,Semester - VII,Artificial Intelligence and Machine Learning in IoT,16,explicit_topic,approved
Machine Learning,"AI, Machine Learning & Vision",CT-26003-C,Internet of Things,Final Year,Semester - VII,Artificial Intelligence and Machine Learning in IoT,16,explicit_topic,approved
Blockchain,Cloud & Distributed Systems,CT-26003-C,Internet of Things,Final Year,Semester - VII,Blockchain Technology,16,explicit_topic,approved
Ethical Hacking,Computer Networks & Cyber Security,CT-26003-C,Internet of Things,Final Year,Semester - VII,Ethical Hacking,16,explicit_topic,approved
Linear Algebra,Data Structures & Algorithms,CT-26003-D,Deep Learning,Final Year,Semester - VII,Pre-Requisite: Linear Algebra,18,explicit_topic,approved
Machine Learning,"AI, Machine Learning & Vision",CT-26003-D,Deep Learning,Final Year,Semester - VII,Machine Learning,18,explicit_topic,approved
Python,"AI, Machine Learning & Vision",CT-26003-D,Deep Learning,Final Year,Semester - VII,Python,18,explicit_topic,approved
Neural Networks,Computer Networks & Cyber Security,CT-26003-D,Deep Learning,Final Year,Semester - VII,Neural Networks: [4 Hrs],18,explicit_topic,approved
Perceptron,"AI, Machine Learning & Vision",CT-26003-D,Deep Learning,Final Year,Semester - VII,Linear Perceptron,18,explicit_topic,approved
Backpropagation,"AI, Machine Learning & Vision",CT-26003-D,Deep Learning,Final Year,Semester - VII,Backpropagation,18,explicit_topic,approved
Normalization,Database & Storage Systems,CT-26003-D,Deep Learning,Final Year,Semester - VII,Batch Normalization.,18,explicit_topic,approved
Unsupervised Learning,"AI, Machine Learning & Vision",CT-26003-D,Deep Learning,Final Year,Semester - VII,Unsupervised Learning with Deep Network,18,explicit_topic,approved
AES,Computer Networks & Cyber Security,CT-26003-D,Deep Learning,Final Year,Semester - VII,Autoencoders (AEs),18,explicit_topic,approved
Convolutional Neural Networks,Computer Networks & Cyber Security,CT-26003-D,Deep Learning,Final Year,Semester - VII,Convolutional Neural Networks (CNNs) and different CNN architectures: [8 Hrs],18,explicit_topic,approved
CNN,"AI, Machine Learning & Vision",CT-26003-D,Deep Learning,Final Year,Semester - VII,Convolutional Neural Networks (CNNs) and different CNN architectures: [8 Hrs],18,explicit_topic,approved
Recurrent Neural Networks,Computer Networks & Cyber Security,CT-26003-D,Deep Learning,Final Year,Semester - VII,Recurrent Neural Networks (RNN): [8 Hrs],18,explicit_topic,approved
RNN,"AI, Machine Learning & Vision",CT-26003-D,Deep Learning,Final Year,Semester - VII,Recurrent Neural Networks (RNN): [8 Hrs],18,explicit_topic,approved
Minimum Spanning Tree,Data Structures & Algorithms,CT-26003-E,Parallel Algorithms,Final Year,Semester - VII,Graphs - Connected components- dense graphs- sparse graphs. Minimum spanning tree- Solli's algorithm,21,explicit_topic,approved
OpenMP,"Systems, Architecture & OS",CT-26003-F,Multicore Technology,Final Year,Semester - VII,Programming using OpenMP - Use of OpenMP compiler directives - #pragma with different clauses -,23,explicit_topic,approved
Deep Learning,"Systems, Architecture & OS",CT-26003-F,Multicore Technology,Final Year,Semester - VII,Guidelines for domain specific architectures - Deep Learning Architecture - Google's Tensor Processing Unit (TPU),24,explicit_topic,approved
Neural Networks,Computer Networks & Cyber Security,CT-26003-F,Multicore Technology,Final Year,Semester - VII,for Deep Neural Networks (DNNs) - Pixel Visual Core,24,explicit_topic,approved
Image Processing,"Systems, Architecture & OS",CT-26003-F,Multicore Technology,Final Year,Semester - VII,a Personal Mobile Device Image Processing Unit,24,explicit_topic,approved
Distributed Systems,Cloud & Distributed Systems,CT-26003-G,Distributed Systems,Final Year,Semester - VII,Advantages and disadvantages of distributed systems,25,explicit_topic,approved
IPC,Cloud & Distributed Systems,CT-26003-G,Distributed Systems,Final Year,Semester - VII,Issues in IPC by message passing.,25,explicit_topic,approved
TCP,Cloud & Distributed Systems,CT-26003-G,Distributed Systems,Final Year,Semester - VII,Relation of Network models with distributed system (TCP/IP,25,explicit_topic,approved
Deadlock Avoidance,"Systems, Architecture & OS",CT-26003-G,Distributed Systems,Final Year,Semester - VII,Deadlock avoidance,25,explicit_topic,approved
Hadoop,Database & Storage Systems,CT-26003-G,Distributed Systems,Final Year,Semester - VII,Hadoop Distributed File System (HDFS),26,explicit_topic,approved
Digital Signatures,Computer Networks & Cyber Security,CT-26003-H,Cyber Security,Final Year,Semester - VII,Introduction to digital signatures,27,explicit_topic,approved
Cryptography,Data Structures & Algorithms,CT-26003-H,Cyber Security,Final Year,Semester - VII,Cryptography,27,explicit_topic,approved
Public Key Infrastructure,Computer Networks & Cyber Security,CT-26003-H,Cyber Security,Final Year,Semester - VII,Digital certificate and public key infrastructure,27,explicit_topic,approved
Malware Analysis,Computer Networks & Cyber Security,CT-26003-H,Cyber Security,Final Year,Semester - VII,Malware analysis techniques,27,explicit_topic,approved
HTTPS,Computer Networks & Cyber Security,CT-26003-H,Cyber Security,Final Year,Semester - VII,Application security: HTTPS,27,explicit_topic,approved
SMTP,Computer Networks & Cyber Security,CT-26003-H,Cyber Security,Final Year,Semester - VII,SMTP STS etc.,27,explicit_topic,approved
IDS,Computer Networks & Cyber Security,CT-26003-H,Cyber Security,Final Year,Semester - VII,Security Technologies: IDS,27,explicit_topic,approved
IPS,Computer Networks & Cyber Security,CT-26003-H,Cyber Security,Final Year,Semester - VII,IPS,27,explicit_topic,approved
Ethical Hacking,Computer Networks & Cyber Security,CT-26003-H,Cyber Security,Final Year,Semester - VII,Ethical hacking,27,explicit_topic,approved
Penetration Testing,Computer Networks & Cyber Security,CT-26003-H,Cyber Security,Final Year,Semester - VII,Penetration testing fundamentals: Reconnaissance,27,explicit_topic,approved
IoT,Computer Networks & Cyber Security,CT-26003-H,Cyber Security,Final Year,Semester - VII,IoT devices security,27,explicit_topic,approved
NLP,Computer Networks & Cyber Security,CT-26003-I,Natural Language Processing,Final Year,Semester - VII,What is NLP,29,explicit_topic,approved
Heap,Data Structures & Algorithms,CT-26003-I,Natural Language Processing,Final Year,Semester - VII,Heap's law. Morphology-morphemes,29,explicit_topic,approved
Tokenization,Computer Networks & Cyber Security,CT-26003-I,Natural Language Processing,Final Year,Semester - VII,Basic Text Processing- Tokenization,29,explicit_topic,approved
Normalization,Database & Storage Systems,CT-26003-I,Natural Language Processing,Final Year,Semester - VII,Text normalization,29,explicit_topic,approved
POS Tagging,Computer Networks & Cyber Security,CT-26003-I,Natural Language Processing,Final Year,Semester - VII,POS tagging,29,explicit_topic,approved
Dynamic Programming,Data Structures & Algorithms,CT-26003-I,Natural Language Processing,Final Year,Semester - VII,Dynamic Programming,29,explicit_topic,approved
Microprocessors,"Systems, Architecture & OS",CT-26003-K,Embedded Systems,Final Year,Semester - VII,Embedded Hardware based on Microprocessors,33,explicit_topic,approved
Operating Systems,"Systems, Architecture & OS",CT-26003-K,Embedded Systems,Final Year,Semester - VII,Real-Time Operating Systems (RTOS),33,explicit_topic,approved
