college,district,program,academic_year,semester,course,topic,skill,skill_normalized
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER I,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,then part (b) must be from any other Module randomly selected from,/Add integrity constraints and able to provide security to data.,/Add Integrity Constraints And Able To Provide Security To Data
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER I,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,Suggested List of experiments  Hours,Database,Database
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER IV,MDL401 Multidisciplinary minor -- 2 -- -- -- 1 1,Unknown,Database,Database
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER IV,MDC401 Multidisciplinary minor 3 -- -- 3 -- -- 3,Unknown,Operating System,Operating System
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMI,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,then part (b) must be from any other Module randomly selected from,"concept of transaction, concurrency control and recovery techniques","Concept Of Transaction, Concurrency Control And Recovery Techniques"
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER I,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,Suggested List of experiments  Hours,and Their Applications in Multi -core Systems. Analyze different thread models,And Their Applications In Multi -Core Systems. Analyze Different Thread Models
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMI,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,randomly selected from all the modules),the complexities of various algorithms.,The Complexities Of Various Algorithms
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER I,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,Suggested List of experiments  Hours,DML Commands for the specified system 02,Dml Commands For The Specified System 02
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMI,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,randomly selected from all the modules),CO.6 Analyze different parallel organizations that includes pipelined and parallel processors,Co.6 Analyze Different Parallel Organizations That Includes Pipelined And Parallel Processors
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER IV,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,Unknown,1. To introduce concepts and fundamentals Matrix algebra for engineering problems,1. To Introduce Concepts And Fundamentals Matrix Algebra For Engineering Problems
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER IV,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,Unknown,Security,Security
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMI,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,then part (b) must be from any other Module randomly selected from,"CO5 Understand transaction, concurrency and recovery techniques to analyze","Co5 Understand Transaction, Concurrency And Recovery Techniques To Analyze"
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER I,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,then part (b) must be from any other Module randomly selected from,SQL,Sql
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER IV,Unknown,Unknown,Operating System,Operating System
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER I,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,Detailed Content Hours CO,Algorithms,Algorithms
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER I,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,then part (b) must be from any other Module randomly selected from,synchronization primitives to address process coordination and demonstrate the,Synchronization Primitives To Address Process Coordination And Demonstrate The
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMI,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,Detailed Content Hours CO,Algorithms,Algorithms
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER I,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,then part (b) must be from any other Module randomly selected from,Algorithms,Algorithms
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER IV,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,Unknown,Linear and Non -linear programming problems of optimization and its,Linear And Non -Linear Programming Problems Of Optimization And Its
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMI,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,then part (b) must be from any other Module randomly selected from,1 To Understand the fundamentals of a database systems,1 To Understand The Fundamentals Of A Database Systems
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER I,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,Detailed Content Hours LO,"the concepts in JavaScript for interactive Web Development,","The Concepts In Javascript For Interactive Web Development,"
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER IV,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,Unknown,modular arithmetic for security applications.,Modular Arithmetic For Security Applications
University of Mumbai,Mumbai,Computer Science Engineering / IT,2025-26,SEMESTER I,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100,Detailed Content Hours LO,"and apply the fundamentals of Java Programming and Object-Oriented Programming,","And Apply The Fundamentals Of Java Programming And Object-Oriented Programming,"
