industry_skill,gap_status,demand_percentage,recommended_priority,recommended_action,explanation
Sales,confirmed_gap,8.4809,High,Add to Curriculum,High industry demand (8.48%) but completely missing from current syllabus.
Customer Service,confirmed_gap,6.6188,High,Add to Curriculum,High industry demand (6.62%) but completely missing from current syllabus.
Project Management,confirmed_gap,5.0761,High,Add to Curriculum,High industry demand (5.08%) but completely missing from current syllabus.
Management,confirmed_gap,4.7609,High,Add to Curriculum,High industry demand (4.76%) but completely missing from current syllabus.
Development,confirmed_gap,3.7283,High,Add to Curriculum,High industry demand (3.73%) but completely missing from current syllabus.
Css,confirmed_gap,3.7075,High,Add to Curriculum,High industry demand (3.71%) but completely missing from current syllabus.
Business Development,confirmed_gap,3.4463,High,Add to Curriculum,High industry demand (3.45%) but completely missing from current syllabus.
C#,confirmed_gap,3.1601,High,Add to Curriculum,High industry demand (3.16%) but completely missing from current syllabus.
Sap,confirmed_gap,2.7661,High,Add to Curriculum,High industry demand (2.77%) but completely missing from current syllabus.
Javascript,confirmed_gap,2.7081,High,Add to Curriculum,High industry demand (2.71%) but completely missing from current syllabus.
Accounting,confirmed_gap,2.5754,High,Add to Curriculum,High industry demand (2.58%) but completely missing from current syllabus.
Communication Skills,confirmed_gap,2.5546,High,Add to Curriculum,High industry demand (2.55%) but completely missing from current syllabus.
Agile,confirmed_gap,2.5215,High,Add to Curriculum,High industry demand (2.52%) but completely missing from current syllabus.
Automation,confirmed_gap,2.4551,High,Add to Curriculum,High industry demand (2.46%) but completely missing from current syllabus.
SAP,confirmed_gap,2.2809,High,Add to Curriculum,High industry demand (2.28%) but completely missing from current syllabus.
Analytical,confirmed_gap,2.2726,High,Add to Curriculum,High industry demand (2.27%) but completely missing from current syllabus.
Troubleshooting,confirmed_gap,2.2643,High,Add to Curriculum,High industry demand (2.26%) but completely missing from current syllabus.
Team Management,confirmed_gap,2.2063,High,Add to Curriculum,High industry demand (2.21%) but completely missing from current syllabus.
Marketing,confirmed_gap,2.1897,High,Add to Curriculum,High industry demand (2.19%) but completely missing from current syllabus.
Oracle,confirmed_gap,2.1565,High,Add to Curriculum,High industry demand (2.16%) but completely missing from current syllabus.
C++,confirmed_gap,2.0445,High,Add to Curriculum,High industry demand (2.04%) but completely missing from current syllabus.
Operations,confirmed_gap,1.916,High,Add to Curriculum,High industry demand (1.92%) but completely missing from current syllabus.
Rest,confirmed_gap,1.9118,High,Add to Curriculum,High industry demand (1.91%) but completely missing from current syllabus.
BPO,confirmed_gap,1.8579,High,Add to Curriculum,High industry demand (1.86%) but completely missing from current syllabus.
Finance,confirmed_gap,1.8413,High,Add to Curriculum,High industry demand (1.84%) but completely missing from current syllabus.
Voice Process,confirmed_gap,1.7252,High,Add to Curriculum,High industry demand (1.73%) but completely missing from current syllabus.
Market Research,confirmed_gap,1.7211,High,Add to Curriculum,High industry demand (1.72%) but completely missing from current syllabus.
Digital Marketing,confirmed_gap,1.6672,High,Add to Curriculum,High industry demand (1.67%) but completely missing from current syllabus.
English,confirmed_gap,1.6547,High,Add to Curriculum,High industry demand (1.65%) but completely missing from current syllabus.
Recruitment,confirmed_gap,1.6506,High,Add to Curriculum,High industry demand (1.65%) but completely missing from current syllabus.
Training,confirmed_gap,1.6464,High,Add to Curriculum,High industry demand (1.65%) but completely missing from current syllabus.
Spring Boot,confirmed_gap,1.6298,High,Add to Curriculum,High industry demand (1.63%) but completely missing from current syllabus.
Customer Support,confirmed_gap,1.6174,High,Add to Curriculum,High industry demand (1.62%) but completely missing from current syllabus.
Microservices,confirmed_gap,1.6132,High,Add to Curriculum,High industry demand (1.61%) but completely missing from current syllabus.
Consulting,confirmed_gap,1.6049,High,Add to Curriculum,High industry demand (1.60%) but completely missing from current syllabus.
Content Writing,confirmed_gap,1.5718,High,Add to Curriculum,High industry demand (1.57%) but completely missing from current syllabus.
Data Analysis,confirmed_gap,1.522,High,Add to Curriculum,High industry demand (1.52%) but completely missing from current syllabus.
Continuous Integration,confirmed_gap,1.4971,High,Add to Curriculum,High industry demand (1.50%) but completely missing from current syllabus.
Software Testing,confirmed_gap,1.4847,High,Add to Curriculum,High industry demand (1.48%) but completely missing from current syllabus.
.NET,confirmed_gap,1.4805,High,Add to Curriculum,High industry demand (1.48%) but completely missing from current syllabus.
Kubernetes,confirmed_gap,1.4432,High,Add to Curriculum,High industry demand (1.44%) but completely missing from current syllabus.
Lead Generation,confirmed_gap,1.4225,High,Add to Curriculum,High industry demand (1.42%) but completely missing from current syllabus.
Stress Analysis,confirmed_gap,1.3603,High,Add to Curriculum,High industry demand (1.36%) but completely missing from current syllabus.
Documentation,confirmed_gap,1.3561,High,Add to Curriculum,High industry demand (1.36%) but completely missing from current syllabus.
Moderation,confirmed_gap,1.3354,High,Add to Curriculum,High industry demand (1.34%) but completely missing from current syllabus.
Web Services,confirmed_gap,1.3312,High,Add to Curriculum,High industry demand (1.33%) but completely missing from current syllabus.
B2B Sales,confirmed_gap,1.3105,High,Add to Curriculum,High industry demand (1.31%) but completely missing from current syllabus.
Application Development,confirmed_gap,1.3105,High,Add to Curriculum,High industry demand (1.31%) but completely missing from current syllabus.
Customer Care,confirmed_gap,1.3022,High,Add to Curriculum,High industry demand (1.30%) but completely missing from current syllabus.
Hibernate,confirmed_gap,1.2981,High,Add to Curriculum,High industry demand (1.30%) but completely missing from current syllabus.
Excel,confirmed_gap,1.2939,High,Add to Curriculum,High industry demand (1.29%) but completely missing from current syllabus.
Software Development,confirmed_gap,1.2898,High,Add to Curriculum,High industry demand (1.29%) but completely missing from current syllabus.
Compliance,confirmed_gap,1.2773,High,Add to Curriculum,High industry demand (1.28%) but completely missing from current syllabus.
Data,confirmed_gap,1.2649,High,Add to Curriculum,High industry demand (1.26%) but completely missing from current syllabus.
Team Handling,confirmed_gap,1.2234,High,Add to Curriculum,High industry demand (1.22%) but completely missing from current syllabus.
Microsoft Azure,confirmed_gap,1.2234,High,Add to Curriculum,High industry demand (1.22%) but completely missing from current syllabus.
AutoCAD,confirmed_gap,1.2027,High,Add to Curriculum,High industry demand (1.20%) but completely missing from current syllabus.
Telesales,confirmed_gap,1.1985,High,Add to Curriculum,High industry demand (1.20%) but completely missing from current syllabus.
Non Voice Process,confirmed_gap,1.1944,High,Add to Curriculum,High industry demand (1.19%) but completely missing from current syllabus.
Business Analysis,confirmed_gap,1.1529,High,Add to Curriculum,High industry demand (1.15%) but completely missing from current syllabus.
Procurement,confirmed_gap,1.1446,High,Add to Curriculum,High industry demand (1.14%) but completely missing from current syllabus.
Project management,confirmed_gap,1.1405,High,Add to Curriculum,High industry demand (1.14%) but completely missing from current syllabus.
ERP,confirmed_gap,1.1156,High,Add to Curriculum,High industry demand (1.12%) but completely missing from current syllabus.
Production,confirmed_gap,1.0907,High,Add to Curriculum,High industry demand (1.09%) but completely missing from current syllabus.
AWS,confirmed_gap,1.0783,High,Add to Curriculum,High industry demand (1.08%) but completely missing from current syllabus.
Relationship,confirmed_gap,1.0783,High,Add to Curriculum,High industry demand (1.08%) but completely missing from current syllabus.
Administration,confirmed_gap,1.0534,High,Add to Curriculum,High industry demand (1.05%) but completely missing from current syllabus.
Spring,confirmed_gap,1.0451,High,Add to Curriculum,High industry demand (1.05%) but completely missing from current syllabus.
Risk Management,confirmed_gap,1.0368,High,Add to Curriculum,High industry demand (1.04%) but completely missing from current syllabus.
Screening,confirmed_gap,1.0285,High,Add to Curriculum,High industry demand (1.03%) but completely missing from current syllabus.
Presentation Skills,confirmed_gap,1.016,High,Add to Curriculum,High industry demand (1.02%) but completely missing from current syllabus.
React.Js,confirmed_gap,1.0119,High,Add to Curriculum,High industry demand (1.01%) but completely missing from current syllabus.
Devops,confirmed_gap,1.0078,High,Add to Curriculum,High industry demand (1.01%) but completely missing from current syllabus.
Operations Management,confirmed_gap,0.987,High,Add to Curriculum,High industry demand (0.99%) but completely missing from current syllabus.
Automation Testing,confirmed_gap,0.9746,High,Add to Curriculum,High industry demand (0.97%) but completely missing from current syllabus.
Telecalling,confirmed_gap,0.9621,High,Add to Curriculum,High industry demand (0.96%) but completely missing from current syllabus.
Ci/Cd,confirmed_gap,0.9621,High,Add to Curriculum,High industry demand (0.96%) but completely missing from current syllabus.
Engineering,confirmed_gap,0.9373,High,Add to Curriculum,High industry demand (0.94%) but completely missing from current syllabus.
Computer science,confirmed_gap,0.9331,High,Add to Curriculum,High industry demand (0.93%) but completely missing from current syllabus.
Customer service,confirmed_gap,0.9248,High,Add to Curriculum,High industry demand (0.92%) but completely missing from current syllabus.
Full Stack,confirmed_gap,0.9248,High,Add to Curriculum,High industry demand (0.92%) but completely missing from current syllabus.
Root Cause Analysis,confirmed_gap,0.9207,High,Add to Curriculum,High industry demand (0.92%) but completely missing from current syllabus.
International Voice Process,confirmed_gap,0.9165,High,Add to Curriculum,High industry demand (0.92%) but completely missing from current syllabus.
Channel Sales,confirmed_gap,0.9124,High,Add to Curriculum,High industry demand (0.91%) but completely missing from current syllabus.
Architecture,confirmed_gap,0.9082,High,Add to Curriculum,High industry demand (0.91%) but completely missing from current syllabus.
Angular,confirmed_gap,0.9041,High,Add to Curriculum,High industry demand (0.90%) but completely missing from current syllabus.
Financial Analysis,confirmed_gap,0.8999,High,Add to Curriculum,High industry demand (0.90%) but completely missing from current syllabus.
Customer Relationship,confirmed_gap,0.8833,High,Add to Curriculum,High industry demand (0.88%) but completely missing from current syllabus.
Hr Generalist Activities,confirmed_gap,0.8709,High,Add to Curriculum,High industry demand (0.87%) but completely missing from current syllabus.
Marathi,confirmed_gap,0.8668,High,Add to Curriculum,High industry demand (0.87%) but completely missing from current syllabus.
Hiring,confirmed_gap,0.8668,High,Add to Curriculum,High industry demand (0.87%) but completely missing from current syllabus.
Teaching,confirmed_gap,0.8626,High,Add to Curriculum,High industry demand (0.86%) but completely missing from current syllabus.
Design,confirmed_gap,0.8585,High,Add to Curriculum,High industry demand (0.86%) but completely missing from current syllabus.
Auditing,confirmed_gap,0.8502,High,Add to Curriculum,High industry demand (0.85%) but completely missing from current syllabus.
Inbound Process,confirmed_gap,0.8502,High,Add to Curriculum,High industry demand (0.85%) but completely missing from current syllabus.
Calling,confirmed_gap,0.846,High,Add to Curriculum,High industry demand (0.85%) but completely missing from current syllabus.
Cloud,confirmed_gap,0.846,High,Add to Curriculum,High industry demand (0.85%) but completely missing from current syllabus.
Accounts Receivable,confirmed_gap,0.846,High,Add to Curriculum,High industry demand (0.85%) but completely missing from current syllabus.
Hindi,confirmed_gap,0.8419,High,Add to Curriculum,High industry demand (0.84%) but completely missing from current syllabus.
Banking,confirmed_gap,0.8419,High,Add to Curriculum,High industry demand (0.84%) but completely missing from current syllabus.
Accounts Payable,confirmed_gap,0.8377,High,Add to Curriculum,High industry demand (0.84%) but completely missing from current syllabus.
Docker,confirmed_gap,0.8377,High,Add to Curriculum,High industry demand (0.84%) but completely missing from current syllabus.
Process,confirmed_gap,0.8377,High,Add to Curriculum,High industry demand (0.84%) but completely missing from current syllabus.
Service Operations,confirmed_gap,0.8336,High,Add to Curriculum,High industry demand (0.83%) but completely missing from current syllabus.
Artificial Intelligence,confirmed_gap,0.8253,High,Add to Curriculum,High industry demand (0.83%) but completely missing from current syllabus.
Debugging,confirmed_gap,0.8211,High,Add to Curriculum,High industry demand (0.82%) but completely missing from current syllabus.
Field Sales,confirmed_gap,0.817,High,Add to Curriculum,High industry demand (0.82%) but completely missing from current syllabus.
Content Management,confirmed_gap,0.8087,High,Add to Curriculum,High industry demand (0.81%) but completely missing from current syllabus.
Senior,confirmed_gap,0.8087,High,Add to Curriculum,High industry demand (0.81%) but completely missing from current syllabus.
Creative Writing,confirmed_gap,0.8045,High,Add to Curriculum,High industry demand (0.80%) but completely missing from current syllabus.
Quality Control,confirmed_gap,0.8004,High,Add to Curriculum,High industry demand (0.80%) but completely missing from current syllabus.
Negotiation,confirmed_gap,0.7963,High,Add to Curriculum,High industry demand (0.80%) but completely missing from current syllabus.
Power Bi,confirmed_gap,0.7921,High,Add to Curriculum,High industry demand (0.79%) but completely missing from current syllabus.
Machine Learning,confirmed_gap,0.7797,High,Add to Curriculum,High industry demand (0.78%) but completely missing from current syllabus.
Monitoring,confirmed_gap,0.7755,High,Add to Curriculum,High industry demand (0.78%) but completely missing from current syllabus.
Joining Formalities,confirmed_gap,0.7755,High,Add to Curriculum,High industry demand (0.78%) but completely missing from current syllabus.
Coding,confirmed_gap,0.7714,High,Add to Curriculum,High industry demand (0.77%) but completely missing from current syllabus.
Application Design,confirmed_gap,0.7672,High,Add to Curriculum,High industry demand (0.77%) but completely missing from current syllabus.
Aws,confirmed_gap,0.7672,High,Add to Curriculum,High industry demand (0.77%) but completely missing from current syllabus.
TDS,confirmed_gap,0.7631,High,Add to Curriculum,High industry demand (0.76%) but completely missing from current syllabus.
Sap Hana,confirmed_gap,0.7631,High,Add to Curriculum,High industry demand (0.76%) but completely missing from current syllabus.
Development Methodologies,confirmed_gap,0.7631,High,Add to Curriculum,High industry demand (0.76%) but completely missing from current syllabus.
Forecasting,confirmed_gap,0.7631,High,Add to Curriculum,High industry demand (0.76%) but completely missing from current syllabus.
Cold Calling,confirmed_gap,0.7589,High,Add to Curriculum,High industry demand (0.76%) but completely missing from current syllabus.
Healthcare,confirmed_gap,0.7548,High,Add to Curriculum,High industry demand (0.75%) but completely missing from current syllabus.
Hrsd,confirmed_gap,0.7382,High,Add to Curriculum,High industry demand (0.74%) but completely missing from current syllabus.
MS Office,confirmed_gap,0.734,High,Add to Curriculum,High industry demand (0.73%) but completely missing from current syllabus.
Sourcing,confirmed_gap,0.7299,High,Add to Curriculum,High industry demand (0.73%) but completely missing from current syllabus.
Html,confirmed_gap,0.7175,High,Add to Curriculum,High industry demand (0.72%) but completely missing from current syllabus.
