industry_skill,job_count,demand_percentage,gap_status,matched_curriculum_skill,colleges,courses
Sales,2045,8.4809,confirmed_gap,,,
SQL,1674,6.9423,partial/semantic_match,Sql,University of Mumbai,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100
Customer Service,1596,6.6188,confirmed_gap,,,
Python,1349,5.5945,present,Python,"Nashik University, University of Mumbai, Savitribai Phule Pune University","MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100, Unknown"
Project Management,1224,5.0761,confirmed_gap,,,
Management,1148,4.7609,confirmed_gap,,,
Java,1074,4.454,present,Java,"University of Mumbai, Savitribai Phule Pune University","Unknown, MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100"
Development,899,3.7283,confirmed_gap,,,
Css,894,3.7075,confirmed_gap,,,
Business Development,831,3.4463,confirmed_gap,,,
C#,762,3.1601,confirmed_gap,,,
Sap,667,2.7661,confirmed_gap,,,
Javascript,653,2.7081,confirmed_gap,,,
Accounting,621,2.5754,confirmed_gap,,,
Communication Skills,616,2.5546,confirmed_gap,,,
Agile,608,2.5215,confirmed_gap,,,
Automation,592,2.4551,confirmed_gap,,,
SAP,550,2.2809,confirmed_gap,,,
Analytical,548,2.2726,confirmed_gap,,,
Troubleshooting,546,2.2643,confirmed_gap,,,
Team Management,532,2.2063,confirmed_gap,,,
Marketing,528,2.1897,confirmed_gap,,,
Oracle,520,2.1565,confirmed_gap,,,
C++,493,2.0445,confirmed_gap,,,
Operations,462,1.916,confirmed_gap,,,
Rest,461,1.9118,confirmed_gap,,,
Networking,453,1.8787,partial/semantic_match,Network,University of Mumbai,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100
BPO,448,1.8579,confirmed_gap,,,
Finance,444,1.8413,confirmed_gap,,,
Voice Process,416,1.7252,confirmed_gap,,,
Market Research,415,1.7211,confirmed_gap,,,
Digital Marketing,402,1.6672,confirmed_gap,,,
English,399,1.6547,confirmed_gap,,,
Recruitment,398,1.6506,confirmed_gap,,,
Training,397,1.6464,confirmed_gap,,,
Spring Boot,393,1.6298,confirmed_gap,,,
Customer Support,390,1.6174,confirmed_gap,,,
Microservices,389,1.6132,confirmed_gap,,,
Consulting,387,1.6049,confirmed_gap,,,
Content Writing,379,1.5718,confirmed_gap,,,
Data Analysis,367,1.522,confirmed_gap,,,
Continuous Integration,361,1.4971,confirmed_gap,,,
Software Testing,358,1.4847,confirmed_gap,,,
.NET,357,1.4805,confirmed_gap,,,
Kubernetes,348,1.4432,confirmed_gap,,,
Lead Generation,343,1.4225,confirmed_gap,,,
Stress Analysis,328,1.3603,confirmed_gap,,,
Documentation,327,1.3561,confirmed_gap,,,
Moderation,322,1.3354,confirmed_gap,,,
Web Services,321,1.3312,confirmed_gap,,,
B2B Sales,316,1.3105,confirmed_gap,,,
Application Development,316,1.3105,confirmed_gap,,,
Customer Care,314,1.3022,confirmed_gap,,,
Hibernate,313,1.2981,confirmed_gap,,,
Excel,312,1.2939,confirmed_gap,,,
Software Development,311,1.2898,confirmed_gap,,,
Compliance,308,1.2773,confirmed_gap,,,
Data,305,1.2649,confirmed_gap,,,
Team Handling,295,1.2234,confirmed_gap,,,
Microsoft Azure,295,1.2234,confirmed_gap,,,
AutoCAD,290,1.2027,confirmed_gap,,,
Telesales,289,1.1985,confirmed_gap,,,
Non Voice Process,288,1.1944,confirmed_gap,,,
Business Analysis,278,1.1529,confirmed_gap,,,
Procurement,276,1.1446,confirmed_gap,,,
Project management,275,1.1405,confirmed_gap,,,
ERP,269,1.1156,confirmed_gap,,,
Production,263,1.0907,confirmed_gap,,,
AWS,260,1.0783,confirmed_gap,,,
Relationship,260,1.0783,confirmed_gap,,,
Administration,254,1.0534,confirmed_gap,,,
Spring,252,1.0451,confirmed_gap,,,
Risk Management,250,1.0368,confirmed_gap,,,
Screening,248,1.0285,confirmed_gap,,,
Presentation Skills,245,1.016,confirmed_gap,,,
React.Js,244,1.0119,confirmed_gap,,,
Devops,243,1.0078,confirmed_gap,,,
Operations Management,238,0.987,confirmed_gap,,,
