admission_year,source_region,district,taluka,iti_type,iti_name,trade_name,intake,pdf_page,source,source_file
2026-27,Amravati,Amravati,AMRAVATI,Government,"GOVERNMENT INDUSTRIAL TRAINING INSTITUTE, AMRAVATI",Architectural Draughtsman (NSQF),24,1,Maharashtra DVET Trade Directory for Admission in Year 2026-27 (Indicative Directory released 5 June 2026),1780672495023.pdf
2026-27,Amravati,Buldhana,KHAMGAON,Private,PRIVATE INDUSTRIAL TRAINING INSTITUTE ANS INFOVALLY,Architectural Draughtsman (NSQF),24,1,Maharashtra DVET Trade Directory for Admission in Year 2026-27 (Indicative Directory released 5 June 2026),1780672495023.pdf
2026-27,Amravati,Akola,AKOLA,Government,"GOVERNMENT INDUSTRIAL TRAINING INSTITUTE, (WOMAN)",Baker and Confectioner (NSQF),24,2,Maharashtra DVET Trade Directory for Admission in Year 2026-27 (Indicative Directory released 5 June 2026),1780672495023.pdf
2026-27,Amravati,Amravati,AMRAVATI,Government,"GOVERNMENT INDUSTRIAL TRAINING INSTITUTE, (WOMAN)",Baker and Confectioner (NSQF),24,2,Maharashtra DVET Trade Directory for Admission in Year 2026-27 (Indicative Directory released 5 June 2026),1780672495023.pdf
2026-27,Amravati,Yavatmal,YAVATMAL,Government,"GOVERNMENT INDUSTRIAL TRAINING INSTITUTE, YAVATMAL",Baker and Confectioner (NSQF),24,2,Maharashtra DVET Trade Directory for Admission in Year 2026-27 (Indicative Directory released 5 June 2026),1780672495023.pdf
2026-27,Amravati,Yavatmal,PUSAD,Government,"GOVERNMENT INDUSTRIAL TRAINING INSTITUTE, PUSAD",Computer Hardware and Network Maintenance (NSQF),48,3,Maharashtra DVET Trade Directory for Admission in Year 2026-27 (Indicative Directory released 5 June 2026),1780672495023.pdf
2026-27,Amravati,Akola,AKOLA,Government,"GOVERNMENT INDUSTRIAL TRAINING INSTITUTE, (WOMAN)",Computer Operator and Programming Assistant (NSQF),48,4,Maharashtra DVET Trade Directory for Admission in Year 2026-27 (Indicative Directory released 5 June 2026),1780672495023.pdf
2026-27,Amravati,Akola,AKOLA,Private,"PRIVATE INDUSTRIAL TRAINING INSTITUTE DEKSON, AT BABHULGAON, NEAR SHIVAJI ENGG. COLLEGE",Computer Operator and Programming Assistant (NSQF),48,4,Maharashtra DVET Trade Directory for Admission in Year 2026-27 (Indicative Directory released 5 June 2026),1780672495023.pdf
2026-27,Amravati,Akola,AKOLA,Government,"GOVERNMENT INDUSTRIAL TRAINING INSTITUTE, AKOLA",Computer Operator and Programming Assistant (NSQF),48,4,Maharashtra DVET Trade Directory for Admission in Year 2026-27 (Indicative Directory released 5 June 2026),1780672495023.pdf
2026-27,Amravati,Akola,UGWA,Private,PRIVATE INDUSTRIAL TRAINING INSTITUTE NALANDA,Computer Operator and Programming Assistant (NSQF),48,4,Maharashtra DVET Trade Directory for Admission in Year 2026-27 (Indicative Directory released 5 June 2026),1780672495023.pdf
