jobId,skill,skill_normalized,extraction_method
270925006659,M.S Office,M.S Office,tagsAndSkills
270925006659,SAP,SAP,tagsAndSkills
270925006659,Computer Skills,Computer Skills,tagsAndSkills
270925006659,MS Office,MS Office,tagsAndSkills
270925006659,Technical,Technical,tagsAndSkills
270925006659,Computer Knowledge,Computer Knowledge,tagsAndSkills
270925006659,Computer,Computer,tagsAndSkills
270925006659,Office,Office,tagsAndSkills
270925006525,SAP,SAP,tagsAndSkills
270925006525,Laboratory Knowledge,Laboratory Knowledge,tagsAndSkills
270925006525,Microsoft,Microsoft,tagsAndSkills
270925006525,Technical,Technical,tagsAndSkills
270925006525,Lab,Lab,tagsAndSkills
260925914626,ATM Implementation,ATM Implementation,tagsAndSkills
260925914626,Linux,Linux,tagsAndSkills
260925914626,BNA System,BNA System,tagsAndSkills
260925914626,Screen Design,Screen Design,tagsAndSkills
260925914626,MySQL,MySQL,tagsAndSkills
260925914626,MariaDB,MariaDB,tagsAndSkills
260925914626,Screen Flow,Screen Flow,tagsAndSkills
260925914626,ATM,ATM,tagsAndSkills
260925914625,ISO8583,ISO8583,tagsAndSkills
260925914625,Finsim,Finsim,tagsAndSkills
260925914625,EFT,EFT,tagsAndSkills
260925914625,PoS,PoS,tagsAndSkills
260925914625,ATM,ATM,tagsAndSkills
260925914625,Tandem,Tandem,tagsAndSkills
260925914625,Postilion,Postilion,tagsAndSkills
260925914625,Base,Base,tagsAndSkills
260925504385,Product quality,Product quality,tagsAndSkills
260925504385,Manager Quality Assurance,Manager Quality Assurance,tagsAndSkills
260925504385,Analytical,Analytical,tagsAndSkills
260925504385,Process improvement,Process improvement,tagsAndSkills
260925504385,Scheduling,Scheduling,tagsAndSkills
260925504385,Continuous improvement,Continuous improvement,tagsAndSkills
260925504385,Talent management,Talent management,tagsAndSkills
260925504385,Monitoring,Monitoring,tagsAndSkills
260925504384,Relationship management,Relationship management,tagsAndSkills
260925504384,Product management,Product management,tagsAndSkills
260925504384,Sales,Sales,tagsAndSkills
260925504384,Product service,Product service,tagsAndSkills
260925504384,Commercial Director,Commercial Director,tagsAndSkills
260925504384,commercial strategy,Commercial Strategy,tagsAndSkills
260925504384,Service marketing,Service marketing,tagsAndSkills
260925504384,Management,Management,tagsAndSkills
260925502369,bde,Bde,tagsAndSkills
260925502369,cold calling,Cold Calling,tagsAndSkills
260925502369,business development,Business Development,tagsAndSkills
260925502369,business development management,Business Development Management,tagsAndSkills
260925502369,financial services,Financial Services,tagsAndSkills
260925502369,corporate sales,Corporate Sales,tagsAndSkills
260925502369,sales,Sales,tagsAndSkills
260925502369,marketing,Marketing,tagsAndSkills
260925502340,bde,Bde,tagsAndSkills
260925502340,cold calling,Cold Calling,tagsAndSkills
260925502340,business development,Business Development,tagsAndSkills
260925502340,business development management,Business Development Management,tagsAndSkills
260925502340,financial services,Financial Services,tagsAndSkills
260925502340,corporate sales,Corporate Sales,tagsAndSkills
260925502340,sales,Sales,tagsAndSkills
260925502340,marketing,Marketing,tagsAndSkills
260925500325,Loans,Loans,tagsAndSkills
260925500325,Networking,Networking,tagsAndSkills
260925500325,Branch banking,Branch banking,tagsAndSkills
260925500325,Relationship building,Relationship building,tagsAndSkills
260925500325,Banking,Banking,tagsAndSkills
260925500325,Internet banking,Internet banking,tagsAndSkills
260925500325,Customer engagement,Customer engagement,tagsAndSkills
260925500325,banking products,Banking Products,tagsAndSkills
260925500324,Loans,Loans,tagsAndSkills
260925500324,Networking,Networking,tagsAndSkills
260925500324,Branch banking,Branch banking,tagsAndSkills
260925500324,Relationship building,Relationship building,tagsAndSkills
260925500324,Banking,Banking,tagsAndSkills
260925500324,Internet banking,Internet banking,tagsAndSkills
260925500324,Customer engagement,Customer engagement,tagsAndSkills
260925500324,banking products,Banking Products,tagsAndSkills
260925027837,Equity,Equity,tagsAndSkills
260925027837,Equity Advisory,Equity Advisory,tagsAndSkills
260925027837,equity dealer,Equity Dealer,tagsAndSkills
260925027837,Dealing,Dealing,tagsAndSkills
