skill,skill_normalized,job_count,demand_percentage,total_jobs,data_version,calculated_at
Sales,Sales,2045,8.4809,24113,1.0,2026-09-18T12:34:10.283307
SQL,SQL,1674,6.9423,24113,1.0,2026-09-18T12:34:10.283307
Customer Service,Customer Service,1596,6.6188,24113,1.0,2026-09-18T12:34:10.283307
Python,Python,1349,5.5945,24113,1.0,2026-09-18T12:34:10.283307
project management,Project Management,1224,5.0761,24113,1.0,2026-09-18T12:34:10.283307
Management,Management,1148,4.7609,24113,1.0,2026-09-18T12:34:10.283307
java,Java,1074,4.454,24113,1.0,2026-09-18T12:34:10.283307
Development,Development,899,3.7283,24113,1.0,2026-09-18T12:34:10.283307
css,Css,894,3.7075,24113,1.0,2026-09-18T12:34:10.283307
business development,Business Development,831,3.4463,24113,1.0,2026-09-18T12:34:10.283307
c#,C#,762,3.1601,24113,1.0,2026-09-18T12:34:10.283307
sap,Sap,667,2.7661,24113,1.0,2026-09-18T12:34:10.283307
javascript,Javascript,653,2.7081,24113,1.0,2026-09-18T12:34:10.283307
Accounting,Accounting,621,2.5754,24113,1.0,2026-09-18T12:34:10.283307
Communication Skills,Communication Skills,616,2.5546,24113,1.0,2026-09-18T12:34:10.283307
Agile,Agile,608,2.5215,24113,1.0,2026-09-18T12:34:10.283307
Automation,Automation,592,2.4551,24113,1.0,2026-09-18T12:34:10.283307
SAP,SAP,550,2.2809,24113,1.0,2026-09-18T12:34:10.283307
Analytical,Analytical,548,2.2726,24113,1.0,2026-09-18T12:34:10.283307
troubleshooting,Troubleshooting,546,2.2643,24113,1.0,2026-09-18T12:34:10.283307
team management,Team Management,532,2.2063,24113,1.0,2026-09-18T12:34:10.283307
marketing,Marketing,528,2.1897,24113,1.0,2026-09-18T12:34:10.283307
Oracle,Oracle,520,2.1565,24113,1.0,2026-09-18T12:34:10.283307
C++,C++,493,2.0445,24113,1.0,2026-09-18T12:34:10.283307
Operations,Operations,462,1.916,24113,1.0,2026-09-18T12:34:10.283307
Rest,Rest,461,1.9118,24113,1.0,2026-09-18T12:34:10.283307
Networking,Networking,453,1.8787,24113,1.0,2026-09-18T12:34:10.283307
BPO,BPO,448,1.8579,24113,1.0,2026-09-18T12:34:10.283307
Finance,Finance,444,1.8413,24113,1.0,2026-09-18T12:34:10.283307
Voice Process,Voice Process,416,1.7252,24113,1.0,2026-09-18T12:34:10.283307
Market Research,Market Research,415,1.7211,24113,1.0,2026-09-18T12:34:10.283307
Digital Marketing,Digital Marketing,402,1.6672,24113,1.0,2026-09-18T12:34:10.283307
English,English,399,1.6547,24113,1.0,2026-09-18T12:34:10.283307
recruitment,Recruitment,398,1.6506,24113,1.0,2026-09-18T12:34:10.283307
Training,Training,397,1.6464,24113,1.0,2026-09-18T12:34:10.283307
Spring Boot,Spring Boot,393,1.6298,24113,1.0,2026-09-18T12:34:10.283307
Customer Support,Customer Support,390,1.6174,24113,1.0,2026-09-18T12:34:10.283307
Microservices,Microservices,389,1.6132,24113,1.0,2026-09-18T12:34:10.283307
Consulting,Consulting,387,1.6049,24113,1.0,2026-09-18T12:34:10.283307
Content Writing,Content Writing,379,1.5718,24113,1.0,2026-09-18T12:34:10.283307
data analysis,Data Analysis,367,1.522,24113,1.0,2026-09-18T12:34:10.283307
Continuous Integration,Continuous Integration,361,1.4971,24113,1.0,2026-09-18T12:34:10.283307
software testing,Software Testing,358,1.4847,24113,1.0,2026-09-18T12:34:10.283307
.NET,.NET,357,1.4805,24113,1.0,2026-09-18T12:34:10.283307
Kubernetes,Kubernetes,348,1.4432,24113,1.0,2026-09-18T12:34:10.283307
Lead Generation,Lead Generation,343,1.4225,24113,1.0,2026-09-18T12:34:10.283307
stress analysis,Stress Analysis,328,1.3603,24113,1.0,2026-09-18T12:34:10.283307
documentation,Documentation,327,1.3561,24113,1.0,2026-09-18T12:34:10.283307
moderation,Moderation,322,1.3354,24113,1.0,2026-09-18T12:34:10.283307
web services,Web Services,321,1.3312,24113,1.0,2026-09-18T12:34:10.283307
B2B Sales,B2B Sales,316,1.3105,24113,1.0,2026-09-18T12:34:10.283307
application development,Application Development,316,1.3105,24113,1.0,2026-09-18T12:34:10.283307
customer care,Customer Care,314,1.3022,24113,1.0,2026-09-18T12:34:10.283307
Hibernate,Hibernate,313,1.2981,24113,1.0,2026-09-18T12:34:10.283307
Excel,Excel,312,1.2939,24113,1.0,2026-09-18T12:34:10.283307
software development,Software Development,311,1.2898,24113,1.0,2026-09-18T12:34:10.283307
Compliance,Compliance,308,1.2773,24113,1.0,2026-09-18T12:34:10.283307
data,Data,305,1.2649,24113,1.0,2026-09-18T12:34:10.283307
Team Handling,Team Handling,295,1.2234,24113,1.0,2026-09-18T12:34:10.283307
