district,sector,candidate_aspiration,industry_size,organization_count,dsdp,mssds_trained,inference,pdf_page,source_batch,dsdp_training,mssds_trained_2022_23,projected_training,projection_available,projection_value_is_zero,projection_matched
Ahmednagar,Agriculture,843.0,1095.0,11.0,1080.0,240.0,"Basis the data available for the industry size and DSDP. Hence, it can be inferred that training",35,batch1_ahmednagar.csv,,,50.0,True,False,True
Ahmednagar,Apparel,237.0,,,180.0,145.0,"Basis the data available for the DSDP and MSSDS trained data. Hence, it can be inferred that training can be provided in Apparel sector",36,batch1_ahmednagar.csv,,,,,,False
Ahmednagar,Automotive,281.0,9300.0,30.0,870.0,55.0,"Basis the data available for the industry size, DSDP and MSSDS trained data. Hence, it can be inferred that training can be provided in Automotive sector",36,batch1_ahmednagar.csv,,,,,,False
Ahmednagar,BFSI,1298.0,3025.0,9.0,90.0,,"Basis the data available for industry size according to the survey conducted it appears that a significant number of workforce is available followed with candidate aspiration and DSDP data. Hence, it can be inferred that training can be provided in BFSI sector",36,batch1_ahmednagar.csv,,,,,,False
Ahmednagar,Beauty & Wellness,681.0,,1.0,120.0,162.0,"Basis the data available for DSDP and MSSDS trained data. Hence, it can be inferred that training can be provided in Beauty & Wellness sector",36,batch1_ahmednagar.csv,,,,,,False
Ahmednagar,Capital Goods,72.0,206.0,5.0,,,"Basis the data available for the industry size for the number of organizations surveyed, it appears that there is a moderate number or workforce. Hence, can be inferred that training can be provided in the Capital goods sector",36,batch1_ahmednagar.csv,,,,,,False
Ahmednagar,Construction,225.0,79.0,5.0,300.0,,"Basis the data available for the number of employees currently working and the DSDP data tagged alongwith the candidate aspiration. Hence, it can be inferred that training can be provided in Construction sector",37,batch1_ahmednagar.csv,,,320.0,True,False,True
Ahmednagar,Domestic Workers,83.0,700.0,2.0,,,"Basis the data available for the industry size, it can be inferred that there is an existing workforce and therefore, training can be provided for Domestic Workers sector",37,batch1_ahmednagar.csv,,,,,,False
Ahmednagar,Electronics,669.0,6782.0,28.0,720.0,1105.0,Basis the data available for candidate aspiration and Industry size it appears that there is a significant number of workforce. Also the DSDP data and MSSDS skilling infer that the training can be provided in Electronics sector,37,batch1_ahmednagar.csv,,,160.0,True,False,True
Ahmednagar,Food Processing,222.0,197.0,6.0,360.0,445.0,"Basis the data available for candidate aspiration and the industry size which is the number of employees in that organization along with the DSDP and MSSDS data, it can be inferred that the candidates can be trained in the Food Processing sector",37,batch1_ahmednagar.csv,,,,,,False
