record_type,job_title,district,skills_required,salary_min_inr_year,salary_max_inr_year,employer_or_source,posted_date,source,source_url,collection_note
NCS_live_listing_snapshot,Required female Personal Secretary,Pune,Office Assistant/Helper,240000.0,384000.0,Quikr India Pvt Ltd,21/07/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,PEN PACKING JOB WORK FROM HOME,Mumbai,Packager,300000.0,360000.0,Quikr India Pvt Ltd,21/07/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,Tempo required with Driver for Delivery,Mumbai,Delivery/Collections,456000.0,480000.0,Quikr India Pvt Ltd,21/07/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,Field work,Mumbai,Others,300000.0,420000.0,Quikr India Pvt Ltd,21/07/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,MOBILIZER,Mumbai Suburban,Mobilizer,,,M/S Navjeevan Lokvikas Sanstha Virar,21/07/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,Soldering operator,Thane,Soldering Operator,144000.0,156000.0,Quikr India Pvt Ltd,19/07/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,Rohan sonawane,Nashik,,180000.0,300000.0,Quikr India Pvt Ltd,06/08/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,SAREE PACKING JOB WORK FROM HOME,Latur,Packager,348000.0,360000.0,Quikr India Pvt Ltd,05/08/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,SAREE PACKING JOB WORK FROM HOME,Thane,Packager,348000.0,360000.0,Quikr India Pvt Ltd,05/08/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,SAREE PACKING JOB WORK FROM HOME,Mumbai,Packager,348000.0,360000.0,Quikr India Pvt Ltd,05/08/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,pen pencil packing homework job,Pune,Packager,294000.0,360000.0,Quikr India Pvt Ltd,05/08/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,Anuj more payboy,Pune,Others,300000.0,312000.0,Quikr India Pvt Ltd,02/08/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,Tattoo Artists,Mumbai,Others,168000.0,204000.0,Quikr India Pvt Ltd,02/08/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,STARTER TIPS TO MAKE MONEY ONLINE OFFLINE,Pune,Data Entry / Back Office,360000.0,480000.0,Quikr India Pvt Ltd,24/07/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,Pencil Packing job Work from home,Mumbai,Packager,300000.0,360000.0,Quikr India Pvt Ltd,23/07/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,Pencil Packing job Work from home,Raigad,Packager,300000.0,360000.0,Quikr India Pvt Ltd,23/07/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
NCS_live_listing_snapshot,SEEKING NEW BANKING JOB,Kolhapur,CV; DSA; KYC Verification; Operator; WP,216000.0,432000.0,Nice way real marketing,21/07/2026,National Career Service (NCS),https://www.ncs.gov.in/job-seeker/pages/search.aspx,Search-engine-indexed NCS listing; portal is dynamic and listings change.
