file,path,rows,columns,duplicate_rows,potential_fields,potential_join_keys
district_iti_supply_summary_2026.csv,data\raw\iti\district_iti_supply_summary_2026.csv,71,6,0,"district, iti_type, iti_trade_rows, total_intake, unique_itIs, unique_trades",
maharashtra_iti_trade_supply_2026.csv,data\raw\iti\maharashtra_iti_trade_supply_2026.csv,5143,11,8,"admission_year, source_region, district, iti_type, iti_name, trade_name, intake, source, source_file",
region_iti_supply_summary_2026.csv,data\raw\iti\region_iti_supply_summary_2026.csv,6,5,0,"source_region, total_intake, unique_itIs, unique_trades",
trade_iti_supply_summary_2026.csv,data\raw\iti\trade_iti_supply_summary_2026.csv,108,5,0,"trade_name, iti_trade_rows, total_intake, districts, regions",
district_sector_collisions.csv,data\raw\mssds\district_sector_collisions.csv,0,3,0,"district, sector",
mssds_2023_master.csv,data\raw\mssds\mssds_2023_master.csv,760,12,0,"district, sector, source_batch",
mssds_2023_projection_merged.csv,data\raw\mssds\mssds_2023_projection_merged.csv,760,16,0,"district, sector, source_batch, projection_available, projection_value_is_zero, projection_matched",
mssds_matched_sectors.csv,data\raw\mssds\mssds_matched_sectors.csv,206,16,0,"district, sector, source_batch, projection_available, projection_value_is_zero, projection_matched",
mssds_projection_long.csv,data\raw\mssds\mssds_projection_long.csv,4788,6,0,"district, sector, sector_raw, projection_available, projection_value_is_zero",
projection_unmatched_sectors.csv,data\raw\mssds\projection_unmatched_sectors.csv,4576,6,0,"district, sector, sector_raw, projection_available, projection_value_is_zero",
employment_data_source_registry.csv,data\raw\training\employment_data_source_registry.csv,5,4,0,,
employment_demand_indicators_2026.csv,data\raw\training\employment_demand_indicators_2026.csv,6,7,0,"source, source_url",
ncs_maharashtra_job_listings_snapshot_2026.csv,data\raw\training\ncs_maharashtra_job_listings_snapshot_2026.csv,17,11,0,"job_title, district, skills_required, salary_min_inr_year, salary_max_inr_year, employer_or_source, source, source_url",
official_skills_source_registry.csv,data\raw\training\official_skills_source_registry.csv,3,4,0,source,
official_trade_skills_reference.csv,data\raw\training\official_trade_skills_reference.csv,8,6,0,"trade, competency_summary, official_source, source_url, source_type",
