trade_name_raw,training_mode,nsqf_present
Aeronautical Structure and Equipment Fitter (NSQF),Regular,Yes
Architectural Draughtsman (NSQF),Regular,Yes
Attendant Operator (Chemical Plant) (NSQF),Regular,Yes
Baker and Confectioner (NSQF),Regular,Yes
Computer Hardware and Network Maintenance (NSQF),Regular,Yes
Computer Operator and Programming Assistant (NSQF),Regular,Yes
Computer Operator and Programming Assistant Under Dual Training System,Dual,No
Cosmetology (NSQF),Regular,Yes
Desktop Publishing Operator (NSQF),Regular,Yes
Draughtsman Civil (NSQF),Regular,Yes
Draughtsman Mechanical (NSQF),Regular,Yes
Draughtsman Mechanical Under Dual System Training (NSQF),Dual,Yes
Dress Making (NSQF),Regular,Yes
Dress Making Under Dual Training System (NSQF),Dual,Yes
Electrician (NSQF),Regular,Yes
Electrician Under Dual System Training (NSQF),Dual,Yes
Electronics Mechanic (NSQF),Regular,Yes
Electronics Mechanic Under Dual Training System (NSQF),Dual,Yes
Electroplater (NSQF),Regular,Yes
Fashion Design and Technology (NSQF),Regular,Yes
Fashion Design and Technology under Dual System Training (NSQF),Dual,Yes
Fire Technology and Industrial Safety Management (NSQF),Regular,Yes
Fitter (NSQF),Regular,Yes
Fitter Under Dual Training System (NSQF),Dual,Yes
Food Production (General) (NSQF),Regular,Yes
Food Production (General) Under Dual Training System (NSQF),Dual,Yes
Food and Beverages Services Assistant (NSQF),Regular,Yes
Food and Beverages Services Assistant Under Dual Training System (NSQF),Dual,Yes
Foundryman (NSQF),Regular,Yes
Foundryman Under Dual Training System (NSQF),Dual,Yes
Front Office Assistant (NSQF),Regular,Yes
Fruit and Vegetable Processing (NSQF),Regular,Yes
Geo-Informatics Assistant (NSQF),Regular,Yes
Health Sanitary Inspector (NSQF),Regular,Yes
Hospital Housekeeping (NSQF),Regular,Yes
Human Resourse Executive (NSQF),Regular,Yes
Industrial Painter (NSQF),Regular,Yes
Information and Communication Technology System Maintenance (NSQF),Regular,Yes
Instrument Mechanic (Chemical Plant) (NSQF),Regular,Yes
Instrument Mechanic (NSQF),Regular,Yes
Interior Design and Decoration (NSQF),Regular,Yes
IoT Technician (Smart City) (NSQF),Regular,Yes
Lift and Escalator Mechanic (NSQF),Regular,Yes
Lift and Escalator Mechanic Under Dual Training System (NSQF),Dual,Yes
MECHANIC ELECTRIC VEHICLE (NSQF),Regular,Yes
Machinist (NSQF),Regular,Yes
Machinist Grinder (NSQF),Regular,Yes
Machinist Grinder Under Dual Training System (NSQF),Dual,Yes
Machinist Under Dual Training System (NSQF),Dual,Yes
Maintenance Mechanic (Chemical Plant) (NSQF),Regular,Yes
Marine Fitter (NSQF),Regular,Yes
Marketing Executive (NSQF),Regular,Yes
Mason (Building Constructor) (NSQF),Regular,Yes
Mechanic Agricultural Machinery (NSQF),Regular,Yes
Mechanic Auto Body Painting (NSQF),Regular,Yes
Mechanic Auto Body Repair (NSQF),Regular,Yes
Mechanic Auto Electrical and Electronics (NSQF),Regular,Yes
Mechanic Auto Electrical and Electronics Under Dual Training System (NSQF),Dual,Yes
Mechanic Consumer Electronic Appliances (NSQF),Regular,Yes
Mechanic Diesel (NSQF),Regular,Yes
Mechanic Diesel Under Dual System Training (NSQF),Dual,Yes
Mechanic Machine Tool Maintenance (NSQF),Regular,Yes
Mechanic Motor Vehicle (NSQF),Regular,Yes
Mechanic Motor Vehicle Under Dual System Training (NSQF),Dual,Yes
Mechanic Tractor (NSQF),Regular,Yes
Mechanic Two And Three wheeler Under Dual Training System (NSQF),Dual,Yes
"Multimedia, Animation and Special Effects (NSQF)",Regular,Yes
Operator Advance Machine Tool (NSQF),Regular,Yes
Painter General (NSQF),Regular,Yes
Painter General Under Dual Training System (NSQF),Dual,Yes
Photographer (NSQF),Regular,Yes
Physiotherapy Technician (NSQF),Regular,Yes
Plastic Processing Operator (NSQF),Regular,Yes
Plastic Processing Operator Under Dual Training System (NSQF),Dual,Yes
Plumber (NSQF),Regular,Yes
Plumber Under Dual Training System (NSQF),Dual,Yes
Pump Operator cum Mechanic (NSQF),Regular,Yes
Refrigeration and Air Conditioner Technician (NSQF),Regular,Yes
Refrigeration and Air Conditioner Technician Under Dual Training System (NSQF),Dual,Yes
SMARTPHONE TECHNICIAN CUM APP TESTER (NSQF),Regular,Yes
Secretarial Practice (English) (NSQF),Regular,Yes
Sewing Technology (NSQF),Regular,Yes
Sewing Technology Under Dual Training System (NSQF),Dual,Yes
Sheet Metal Worker (NSQF),Regular,Yes
Sheet Metal Worker Under Dual System Training (NSQF),Dual,Yes
Solar Technician (Electrical) (NSQF),Regular,Yes
Spinning Technician (NSQF),Regular,Yes
Stenographer Secretarial Assistant (English) (NSQF),Regular,Yes
Surface Ornamentation Techniques (Embroidery) (NSQF),Regular,Yes
Surveyor (NSQF),Regular,Yes
Technician Mechatronics (NSQF),Regular,Yes
Technician Medical Electronics (NSQF),Regular,Yes
Technician Power Electronic Systems (NSQF),Regular,Yes
Technician Power Electronic Systems Under Dual Training System (NSQF),Dual,Yes
Textile Wet Processing Technician (NSQF),Regular,Yes
Tool and Die Maker (Dies and Moulds) (NSQF),Regular,Yes
"Tool and Die Maker (Press Tools, Jigs and Fixtures) (NSQF)",Regular,Yes
"Tool and Die Maker (Press Tools, Jigs and Fixtures) Under Dual Training System",Dual,No
Turner (NSQF),Regular,Yes
Turner Under Dual Training System (NSQF),Dual,Yes
Weaving Technician (NSQF),Regular,Yes
Welder (GMAW and GTAW) (NSQF),Regular,Yes
Welder (GMAW and GTAW) Under Dual System Training (NSQF),Dual,Yes
Welder (NSQF),Regular,Yes
Welder under Dual System Training (NSQF),Dual,Yes
Wireman (NSQF),Regular,Yes
Wireman Under Dual Training System (NSQF),Dual,Yes
Wood Work Technician (NSQF),Regular,Yes
